Location,Name,Price,Rating,Cost,Hunger
Netos Mexican Food,"Carne adobada ",5,3,5.5,4
Lolita's Taco shop,Shrimp,8,3,8.95,4
Lolita's Taco Shop,California,7,3,7,3
Los Cabos,California,5,3,5.99,0
Lucha Libre North Park,Surf & Turf,8,3,8.25,0
Lucha Libre North Park,Surfin California,8,3,8.25,3
Lucha Libre North Park,Surfin California,8,3,8.25,4
Lucha Libre North Park,California - Pork Adobada,7,3,7.5,3
Lucha Libre North Park,California - Chicken,7,3,7.5,3
Roberto's Taco Shop Clairemont,California,5,3,5.79,3
Roberto's Taco Shop Clairemont,Carne asada,5,3,5.69,3
La Morena Taco Shop and Seafood,California,6,3,6.35,5
Matador Mexican Food,Carnitas,6,3,6.6,3
Matador Mexican Food,Carne asada,6,3,6.6,2
Taco Villa,Breakfast,4,3,4.99,4
Taco Villa,Shrimp with guac,0,3,Free,3
Donato's Taco Shop,"Al pastor ",5,3,5.99,3
El Zarape,California,6,3,6.25,4
"Mr. Ruribertos Taco Shop ",Carne asada,7,3,7.75,4
Taco Villa,Chicken,4,3,4.99,4
Taco Villa,Al pastor,6,3,6.99,2
Burros and Fries,Shrimp california,6,3,6.99,3
Vallarta Express,Surf & Turf,8,3,8.55,3
Vallarta express,California,6,2.9,6.95,3
Senor Panchos,Pollo asado,6,2.9,6.25,3
"Mr. Ruribertos Taco Shop ",California,7,2.9,7.75,3
Don Carlos Taco Shop,California,7,2.9,7.75,4
Rudy's Taco Shop,Chicken,6,2.8,6.6,4
King Burrito,Adobada,4,2.8,4.99,4
Los Tacos 2,Cheese steak,9,2.8,9.95,4
Roberto's Taco Shop Hillcrest,Asada,7,2.8,7,4
Tony's Fresh Mexican Food,California,6,2.75,6.25,4
Chipotle,Carnitas,7,2.75,7.15,4
Roberto's Very Mexican Food,Carnitas,5,2.7,5.4,4
Lolita's Taco shop,Bean and cheese,3,2.7,3.5,3
Rigoberto's Taco Shop,Campeon,7,2.7,7.65,4
Gloria's Taco Shop,"California ",5,2.7,5.65,4
Ortiz's Taco Shop #2,California chicken,6,2.66,6.39,3
Nico's Taco Shop,California,7,2.6,7.19,4
Lolita's Taco shop,Carne asada,6,2.6,6.25,4
"El Nopalito ","Especial ",4,2.6,4.87,3
"El Nopalito ",Ranchero steak,4,2.6,4.87,5
Los Primos Mexican Food,Adobada,6,2.6,6.25,2
El Torrito Foods,Adobada,3,2.6,3.99,3
JV's Mexican Food,Surf & Turf,9,2.5,9.5,4
El Zarape,California chicken,6,2.5,6.25,4
La Perla Cocina,Addiction,7,2.5,7.99,4
Rigoberto's Taco Shop,El Rusio,6,2.5,6.65,3
Los Primos Mexican Food,California,7,2.5,7,3
Los Primos Mexican Food,Surf & Turf,7,2.5,7,4
King Burrito,California,5,2.5,5.29,3
Lucha Libre North Park,California - Chicken,7,2.5,7.5,3
Tacos La Bala,Pastor,4,2.5,4.99,3
Lucha Libre North Park,Surf & Turf,8,2.4,8.25,4
Tacos La Bala,"Barbacoa ",4,2.4,4.99,3
Los Primos Mexican Food,Monster California,9,2.3,9.25,4
Lolita's Taco Shop,California,7,2.3,7,4
Papa Chito's Mexican Food,California,6,2.2,6.25,4
Lucha Libre North Park,Surf & Turf,8,2.2,8.25,3
California Burrito Company,"Fajitas ",6,2.2,6.5,2
Roberto's Taco Shop Hillcrest,California,7,2.2,7,2
JV's Mexican Food,Carne Asada,6,2,6.25,4
Tony's Fresh Mexican Food,"battered fish ",6,2,6.99,3
Raul's Mexican food,Chile verde pork,5,2,5,4
Goody's,Custom,8,2,8,3
Goody's,Custom,8,2,8,3
Goody's,Carne Asada,6,2,6.25,4
Los Primos Mexican Food,California breakfast,6,2,6.25,3
Los Primos Mexican Food,Baja monster,6,2,6,4
Los Primos Mexican Food,Carnitas,6,2,6.35,4
Los Primos Mexican Food,Carne asada,7,2,7,4
Lucha Libre North Park,Surf & Turf,8,2,8.25,4
Lucha Libre North Park,Bean and cheese,3,2,3.75,4
Lucha Libre North Park,Holy Moly,7,2,7.5,4
Taco Villa,Bean & cheese,0,2,Free,4
Gloria's Taco Shop,Cabeza,5,2,5.49,3
Lupe's Taco Shop,Spicy a la Diabla,7,2,7.49,4
Caliente Mexican Food,California,6,2,6.47,3
Taco Villa,Carne asada,6,2,6.99,2
Senor Grubby's,Pastor,9,1.8,9,3
Goody's,Custom,7,1.8,7.25,3
Senor Grubby's,California,9,1.5,9,3
Roberto's Very Mexican Food,Chicken asada,6,1.5,6.5,3
Lucha Libre North Park,Holy Moly,7,1.5,7.5,3
Raul's Mexican food,carne asada,5,1,5,3
California Burritos,California Everything,6,1,6.25,4
California Burritos,Surf & Turf,7,1,7,5
